store_sk,store_id,store_name,store_type,store_location,store_manager_sk
434,STR_00434,QuickCart,Large Malls / Complexes,Colorado Springs,1983
435,STR_00435,ShopEase,Supermarkets ,Nashville,1200
436,STR_00436,BudgetBuy,Supermarkets ,Seattle,780
437,STR_00437,ModernMart,Small Stores / Shops,Kansas City,111
438,STR_00438,ElectroPoint,Large Malls / Complexes,Portland,996
439,STR_00439,FreshFlow,Small Stores / Shops,San Francisco,970
440,STR_00440,StyleStop,Small Stores / Shops,Nashville,1929
441,STR_00441,ShopEase,Large Malls / Complexes,Arlington,1192
442,STR_00442,SmartBuy,Small Stores / Shops,Los Angeles,1357
443,STR_00443,FurniWorld,Supermarkets ,Oakland,660
444,STR_00444,FurniWorld,Supermarkets ,Virginia Beach,1061
445,STR_00445,FurniCart,Large Malls / Complexes,San Antonio,870
446,STR_00446,ClothCorner,Supermarkets ,Seattle,236
447,STR_00447,ValueDepot,Large Malls / Complexes,Kansas City,315
448,STR_00448,FabNest,Supermarkets ,New York,1677
449,STR_00449,GrocerEase,Large Malls / Complexes,Fort Worth,947
450,STR_00450,FabNest,Supermarkets ,Miami,507
451,STR_00451,ActiveLife,Supermarkets ,Indianapolis,1016
452,STR_00452,VivaStores,Supermarkets ,Detroit,96
453,STR_00453,QuickCart,Supermarkets ,Oakland,1872
454,STR_00454,ShopEase,Small Stores / Shops,Oakland,1614
455,STR_00455,FurniWorld,Large Malls / Complexes,Seattle,643
456,STR_00456,FurniSquare,Small Stores / Shops,Miami,346
457,STR_00457,HyperMart,Supermarkets ,Seattle,26
458,STR_00458,CosmoMart,Large Malls / Complexes,Boston,1184
459,STR_00459,SmartChoice,Small Stores / Shops,Portland,3
460,STR_00460,ActiveLife,Small Stores / Shops,Long Beach,185
461,STR_00461,FreshNest,Supermarkets ,Kansas City,131
462,STR_00462,HomeEssence,Supermarkets ,Las Vegas,514
463,STR_00463,EcoMart,Large Malls / Complexes,Jacksonville,490
464,STR_00464,NeoStore,Supermarkets ,Los Angeles,852
465,STR_00465,FurniSquare,Supermarkets ,Tampa,422
466,STR_00466,SmartChoice,Supermarkets ,Louisville,1789
467,STR_00467,UrbanStyles,Large Malls / Complexes,Boston,1834
468,STR_00468,UrbanGear,Supermarkets ,Indianapolis,452
469,STR_00469,ZenHome,Large Malls / Complexes,Austin,1217
470,STR_00470,DailyDeals,Supermarkets ,Minneapolis,616
471,STR_00471,MegaDeals,Large Malls / Complexes,Tucson,1745
472,STR_00472,HomeCentre,Large Malls / Complexes,Chicago,779
473,STR_00473,HomeHaven,Large Malls / Complexes,Phoenix,1766
474,STR_00474,TrendWay,Supermarkets ,Louisville,259
475,STR_00475,HyperMart,Small Stores / Shops,El Paso,193
476,STR_00476,SmartBuy,Small Stores / Shops,Raleigh,1256
477,STR_00477,MegaDeals,Small Stores / Shops,Charlotte,483
478,STR_00478,BudgetBuy,Small Stores / Shops,Tucson,874
479,STR_00479,FitNGo,Small Stores / Shops,Detroit,1701
480,STR_00480,HyperMart,Small Stores / Shops,Tampa,304
481,STR_00481,DailyMart,Small Stores / Shops,Dallas,1921
482,STR_00482,QuickCart,Supermarkets ,San Antonio,1149
483,STR_00483,ActiveLife,Small Stores / Shops,Dallas,1585
484,STR_00484,ApplianceHub,Supermarkets ,Omaha,978
485,STR_00485,EcoMart,Supermarkets ,Raleigh,901
486,STR_00486,HomeEssence,Supermarkets ,Denver,690
487,STR_00487,TrendWay,Small Stores / Shops,Charlotte,929
488,STR_00488,UrbanStyles,Large Malls / Complexes,Houston,1557
489,STR_00489,FurniWorld,Large Malls / Complexes,New York,642
490,STR_00490,FurniWorld,Small Stores / Shops,Indianapolis,534
491,STR_00491,FurniCart,Small Stores / Shops,Long Beach,124
492,STR_00492,FreshNest,Supermarkets ,Houston,91
493,STR_00493,GrocerEase,Large Malls / Complexes,Charlotte,1035
494,STR_00494,FitNGo,Small Stores / Shops,San Antonio,1732
495,STR_00495,DailyMart,Supermarkets ,Tampa,1157
496,STR_00496,GrocerEase,Small Stores / Shops,Long Beach,291
497,STR_00497,ShopEase,Large Malls / Complexes,Virginia Beach,659
498,STR_00498,GoStyle,Small Stores / Shops,Washington,512
499,STR_00499,MegaDeals,Supermarkets ,Nashville,731
500,STR_00500,DailyMart,Large Malls / Complexes,San Francisco,1778
